chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
secret,0.210881,5.5815854,22264877,0.09,144233918,337958032,0,55,180,235,17103550,0.7681852453081146,0.7681852453081146,11061,221573,secret,0.145854,47098627,774,49286078,2086318,0.145837,0.140092,0.00476516,3.377,1488956,3.265,322917207,337914792,0,10.38,1635425089785,0.136526,1761846089970,2.271,3.377,-6.223,-11.732,-23.459,-24.849,1761955200000
secret,0.210934,5.5928381,22249405,0.09,144160981,337871468,0,55,180,235,17099442,0.7685347990204682,0.7685347990204682,11132,221482,secret,0.14113,45547884,781,47663764,2848479,0.155851,0.136526,-0.01260566,-8.2,-4041824,-8.151,322831496,337828301,0,10.38,1635425089785,0.136526,1761846089970,1.464,-8.2,-9.208,-15.487,-7.718,-30.143,1761868800000
secret,0.210867,5.5866549,22233957,0.09,144169761,337785061,0,55,180,235,17093404,0.7687972051038868,0.7687972051038868,11132,221482,secret,0.153689,49589708,753,51893846,1521799,0.157432,0.152836,-0.00017769,-0.115,-41875,-0.084,322745797,337741871,0,10.38,1635425089785,0.136796,1750623637548,-1.646,-0.115,2.177,-11.547,-2.291,-26.784,1761782400000
secret,0.210907,5.5892694,22218493,0.09,144105573,337696842,0,55,180,235,17089194,0.7691428036996029,0.7691428036996029,11138,221216,secret,0.153816,49631583,754,51938159,2318859,0.160692,0.150693,-0.00522403,-3.285,-1670514,-3.256,322660130,337655425,0,10.38,1635425089785,0.136796,1750623637548,0.096,-3.285,-3.437,-18.947,-1.304,-23.967,1761696000000
secret,0.211,5.5870607,22203040,0.09,144005454,337610452,0,55,180,235,17084077,0.7694476522133906,0.7694476522133906,10886,220760,secret,0.159067,51302096,755,53686825,3638025,0.171126,0.15833,-0.00724372,-4.356,-2341679,-4.365,322574464,337569028,0,10.38,1635425089785,0.136796,1750623637548,0.181,-4.356,-3.331,-20.652,2.606,-22.183,1761609600000
secret,0.210998,5.5899079,22187578,0.09,143969954,337524033,0,55,180,235,17078938,0.7697522460540759,0.7697522460540759,10793,220442,secret,0.166313,53643774,744,56137886,5548427,0.169184,0.153103,0.01090062,7.014,3538180,7.061,322488863,337482648,0,10.38,1635425089785,0.136796,1750623637548,-0.168,7.014,0.828,-12.424,8.516,-15.99,1761523200000
secret,0.211272,5.5863312,22172118,0.09,143746171,337437654,0,55,180,235,17073159,0.770028330175764,0.770028330175764,10845,220383,secret,0.155402,50105594,757,52435707,1999155,0.156958,0.153462,-0.00039068,-0.251,-108698,-0.216,322403174,337396229,0,10.38,1635425089785,0.136796,1750623637548,-0.37,-0.251,-4.981,-7.94,4.382,-24.747,1761436800000
secret,0.211389,5.589262000000001,22156656,0.09,143630169,337351279,0,55,180,235,17067429,0.7703070806352728,0.7703070806352728,10716,220353,secret,0.155792,50214291,751,52549957,1606033,0.157698,0.151866,0.00010696,0.069,47647,0.095,322317636,337309910,0,10.38,1635425089785,0.136796,1750623637548,0.099,0.069,-5.718,-2.995,-1.226,-26.665,1761350400000
secret,0.211381,5.5939335,22141195,0.09,143598717,337264938,0,55,180,235,17062272,0.7706120649766194,0.7706120649766194,10716,220353,secret,0.155683,50063899,742,52393074,3417619,0.157655,0.151662,0.00269522,1.762,652659,1.321,322232064,337223607,0,10.38,1635425089785,0.136796,1750623637548,0.206,1.762,-7.019,-18.7,-3.183,-23.735,1761264000000
secret,0.211126,5.5852095,22125747,0.09,143735125,337178675,0,55,180,235,17056467,0.7708877354513726,0.7708877354513726,10827,220314,secret,0.152964,49411239,734,51710549,4310610,0.160646,0.149796,-0.00448725,-2.85,-1290485,-2.545,322146480,337137293,0,10.38,1635425089785,0.136796,1750623637548,1.454,-2.85,-11.964,-28.995,-2.346,-27.992,1761177600000
